model_all_details,year,brand,sub_model,miles,selling_price,value_type,engine_type
2020 Subaru Forester,2020,Subaru,Forester,9703,27885,great Value,4 Cyl 2.5 L
2018 Honda Odyssey EX L,2018,Honda,Odyssey,45597,34640,great Value,
2018 Dodge Charger GT,2018,Dodge,Charger,33433,29499,great Value,
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,37677,50286,great Value,
2020 Ford Mustang GT,2020,Ford,Mustang,8306,42915,great Value,
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,76831,28738,great Value,
2019 Ford Ranger Lariat,2019,Ford,Ranger,5670,40998,great Value,
2017 Subaru Outback 2.5i Limited,2017,Subaru,Outback,113732,20455,great Value,
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,31332,42397,great Value,
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,5999,21606,great Value,
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,124225,5995,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,32612,36455,great Value,
2019 Infiniti QX50 Essential,2019,Infiniti,QX50,46148,34498,great Value,
2020 Volkswagen Passat SE,2020,Volkswagen,Passat,9443,24991,great Value,
2021 Lexus ES 250,2021,Lexus,ES,4846,42990,great Value,
2019 Volkswagen Tiguan SE,2019,Volkswagen,Tiguan,3037,30499,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,11230,40899,great Value,
2019 Toyota Tacoma TRD Sport,2019,Toyota,Tacoma,33235,41184,great Value,
2020 Honda Pilot Elite,2020,Honda,Pilot,16168,45197,great Value,
2019 Volkswagen Jetta GLI,2019,Volkswagen,Jetta,18691,29499,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,22538,40494,great Value,
2018 Mercedes-Benz E-Class E 300,2018,Mercedes-Benz,E-Class,13579,42498,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,52634,33991,great Value,
2019 Volkswagen Tiguan SEL R-Line,2019,Volkswagen,Tiguan,25323,31499,great Value,
2019 Audi A5 Prestige,2019,Audi,A5,6945,46999,great Value,
2020 Subaru Forester,2020,Subaru,Forester,9703,27885,great Value,4 Cyl 2.5 L
2018 Honda Odyssey EX L,2018,Honda,Odyssey,45597,34640,great Value,
2018 Dodge Charger GT,2018,Dodge,Charger,33433,29499,great Value,
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,37677,50286,great Value,
2020 Ford Mustang GT,2020,Ford,Mustang,8306,42915,great Value,
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,76831,28738,great Value,
2019 Ford Ranger Lariat,2019,Ford,Ranger,5670,40998,great Value,
2017 Subaru Outback 2.5i Limited,2017,Subaru,Outback,113732,20455,great Value,
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,31332,42397,great Value,
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,5999,21606,great Value,
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,124225,5995,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,32612,36455,great Value,
2019 Infiniti QX50 Essential,2019,Infiniti,QX50,46148,34498,great Value,
2020 Volkswagen Passat SE,2020,Volkswagen,Passat,9443,24991,great Value,
2021 Lexus ES 250,2021,Lexus,ES,4846,42990,great Value,
2019 Volkswagen Tiguan SE,2019,Volkswagen,Tiguan,3037,30499,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,11230,40899,great Value,
2019 Toyota Tacoma TRD Sport,2019,Toyota,Tacoma,33235,41184,great Value,
2020 Honda Pilot Elite,2020,Honda,Pilot,16168,45197,great Value,
2019 Volkswagen Jetta GLI,2019,Volkswagen,Jetta,18691,29499,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,22538,40494,great Value,
2018 Mercedes-Benz E-Class E 300,2018,Mercedes-Benz,E-Class,13579,42498,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,52634,33991,great Value,
2019 Volkswagen Tiguan SEL R-Line,2019,Volkswagen,Tiguan,25323,31499,great Value,
2019 Audi A5 Prestige,2019,Audi,A5,6945,46999,great Value,
2020 Subaru Forester,2020,Subaru,Forester,9703,27885,great Value,4 Cyl 2.5 L
2018 Honda Odyssey EX L,2018,Honda,Odyssey,45597,34640,great Value,
2018 Dodge Charger GT,2018,Dodge,Charger,33433,29499,great Value,
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,37677,50286,great Value,
2020 Ford Mustang GT,2020,Ford,Mustang,8306,42915,great Value,
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,76831,28738,great Value,
2019 Ford Ranger Lariat,2019,Ford,Ranger,5670,40998,great Value,
2017 Subaru Outback 2.5i Limited,2017,Subaru,Outback,113732,20455,great Value,
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,31332,42397,great Value,
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,5999,21606,great Value,
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,124225,5995,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,32612,36455,great Value,
2019 Infiniti QX50 Essential,2019,Infiniti,QX50,46148,34498,great Value,
2020 Volkswagen Passat SE,2020,Volkswagen,Passat,9443,24991,great Value,
2021 Lexus ES 250,2021,Lexus,ES,4846,42990,great Value,
2019 Volkswagen Tiguan SE,2019,Volkswagen,Tiguan,3037,30499,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,11230,40899,great Value,
2019 Toyota Tacoma TRD Sport,2019,Toyota,Tacoma,33235,41184,great Value,
2020 Honda Pilot Elite,2020,Honda,Pilot,16168,45197,great Value,
2019 Volkswagen Jetta GLI,2019,Volkswagen,Jetta,18691,29499,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,22538,40494,great Value,
2018 Mercedes-Benz E-Class E 300,2018,Mercedes-Benz,E-Class,13579,42498,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,52634,33991,great Value,
2019 Volkswagen Tiguan SEL R-Line,2019,Volkswagen,Tiguan,25323,31499,great Value,
2019 Audi A5 Prestige,2019,Audi,A5,6945,46999,great Value,
2020 Subaru Forester,2020,Subaru,Forester,9703,27885,great Value,4 Cyl 2.5 L
2018 Honda Odyssey EX L,2018,Honda,Odyssey,45597,34640,great Value,
2018 Dodge Charger GT,2018,Dodge,Charger,33433,29499,great Value,
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,37677,50286,great Value,
2020 Ford Mustang GT,2020,Ford,Mustang,8306,42915,great Value,
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,76831,28738,great Value,
2019 Ford Ranger Lariat,2019,Ford,Ranger,5670,40998,great Value,
2017 Subaru Outback 2.5i Limited,2017,Subaru,Outback,113732,20455,great Value,
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,31332,42397,great Value,
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,5999,21606,great Value,
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,124225,5995,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,32612,36455,great Value,
2019 Infiniti QX50 Essential,2019,Infiniti,QX50,46148,34498,great Value,
2020 Volkswagen Passat SE,2020,Volkswagen,Passat,9443,24991,great Value,
2021 Lexus ES 250,2021,Lexus,ES,4846,42990,great Value,
2019 Volkswagen Tiguan SE,2019,Volkswagen,Tiguan,3037,30499,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,11230,40899,great Value,
2019 Toyota Tacoma TRD Sport,2019,Toyota,Tacoma,33235,41184,great Value,
2020 Honda Pilot Elite,2020,Honda,Pilot,16168,45197,great Value,
2019 Volkswagen Jetta GLI,2019,Volkswagen,Jetta,18691,29499,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,22538,40494,great Value,
2018 Mercedes-Benz E-Class E 300,2018,Mercedes-Benz,E-Class,13579,42498,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,52634,33991,great Value,
2019 Volkswagen Tiguan SEL R-Line,2019,Volkswagen,Tiguan,25323,31499,great Value,
2019 Audi A5 Prestige,2019,Audi,A5,6945,46999,great Value,
2020 Subaru Forester,2020,Subaru,Forester,9703,27885,great Value,4 Cyl 2.5 L
2018 Honda Odyssey EX L,2018,Honda,Odyssey,45597,34640,great Value,
2018 Dodge Charger GT,2018,Dodge,Charger,33433,29499,great Value,
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,37677,50286,great Value,
2020 Ford Mustang GT,2020,Ford,Mustang,8306,42915,great Value,
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,76831,28738,great Value,
2019 Ford Ranger Lariat,2019,Ford,Ranger,5670,40998,great Value,
2017 Subaru Outback 2.5i Limited,2017,Subaru,Outback,113732,20455,great Value,
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,31332,42397,great Value,
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,5999,21606,great Value,
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,124225,5995,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,32612,36455,great Value,
2019 Infiniti QX50 Essential,2019,Infiniti,QX50,46148,34498,great Value,
2020 Volkswagen Passat SE,2020,Volkswagen,Passat,9443,24991,great Value,
2021 Lexus ES 250,2021,Lexus,ES,4846,42990,great Value,
2019 Volkswagen Tiguan SE,2019,Volkswagen,Tiguan,3037,30499,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,11230,40899,great Value,
2019 Toyota Tacoma TRD Sport,2019,Toyota,Tacoma,33235,41184,great Value,
2020 Honda Pilot Elite,2020,Honda,Pilot,16168,45197,great Value,
2019 Volkswagen Jetta GLI,2019,Volkswagen,Jetta,18691,29499,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,22538,40494,great Value,
2018 Mercedes-Benz E-Class E 300,2018,Mercedes-Benz,E-Class,13579,42498,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,52634,33991,great Value,
2019 Volkswagen Tiguan SEL R-Line,2019,Volkswagen,Tiguan,25323,31499,great Value,
2019 Audi A5 Prestige,2019,Audi,A5,6945,46999,great Value,
2020 Subaru Forester,2020,Subaru,Forester,9703,27885,great Value,4 Cyl 2.5 L
2018 Honda Odyssey EX L,2018,Honda,Odyssey,45597,34640,great Value,
2018 Dodge Charger GT,2018,Dodge,Charger,33433,29499,great Value,
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,37677,50286,great Value,
2020 Ford Mustang GT,2020,Ford,Mustang,8306,42915,great Value,
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,76831,28738,great Value,
2019 Ford Ranger Lariat,2019,Ford,Ranger,5670,40998,great Value,
2017 Subaru Outback 2.5i Limited,2017,Subaru,Outback,113732,20455,great Value,
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,31332,42397,great Value,
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,5999,21606,great Value,
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,124225,5995,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,32612,36455,great Value,
2019 Infiniti QX50 Essential,2019,Infiniti,QX50,46148,34498,great Value,
2020 Volkswagen Passat SE,2020,Volkswagen,Passat,9443,24991,great Value,
2021 Lexus ES 250,2021,Lexus,ES,4846,42990,great Value,
2019 Volkswagen Tiguan SE,2019,Volkswagen,Tiguan,3037,30499,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,11230,40899,great Value,
2019 Toyota Tacoma TRD Sport,2019,Toyota,Tacoma,33235,41184,great Value,
2020 Honda Pilot Elite,2020,Honda,Pilot,16168,45197,great Value,
2019 Volkswagen Jetta GLI,2019,Volkswagen,Jetta,18691,29499,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,22538,40494,great Value,
2018 Mercedes-Benz E-Class E 300,2018,Mercedes-Benz,E-Class,13579,42498,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,52634,33991,great Value,
2019 Volkswagen Tiguan SEL R-Line,2019,Volkswagen,Tiguan,25323,31499,great Value,
2019 Audi A5 Prestige,2019,Audi,A5,6945,46999,great Value,
2020 Subaru Forester,2020,Subaru,Forester,9703,27885,great Value,4 Cyl 2.5 L
2018 Honda Odyssey EX L,2018,Honda,Odyssey,45597,34640,great Value,
2018 Dodge Charger GT,2018,Dodge,Charger,33433,29499,great Value,
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,37677,50286,great Value,
2020 Ford Mustang GT,2020,Ford,Mustang,8306,42915,great Value,
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,76831,28738,great Value,
2019 Ford Ranger Lariat,2019,Ford,Ranger,5670,40998,great Value,
2017 Subaru Outback 2.5i Limited,2017,Subaru,Outback,113732,20455,great Value,
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,31332,42397,great Value,
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,5999,21606,great Value,
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,124225,5995,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,32612,36455,great Value,
2019 Infiniti QX50 Essential,2019,Infiniti,QX50,46148,34498,great Value,
2020 Volkswagen Passat SE,2020,Volkswagen,Passat,9443,24991,great Value,
2021 Lexus ES 250,2021,Lexus,ES,4846,42990,great Value,
2019 Volkswagen Tiguan SE,2019,Volkswagen,Tiguan,3037,30499,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,11230,40899,great Value,
2019 Toyota Tacoma TRD Sport,2019,Toyota,Tacoma,33235,41184,great Value,
2020 Honda Pilot Elite,2020,Honda,Pilot,16168,45197,great Value,
2019 Volkswagen Jetta GLI,2019,Volkswagen,Jetta,18691,29499,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,22538,40494,great Value,
2018 Mercedes-Benz E-Class E 300,2018,Mercedes-Benz,E-Class,13579,42498,great Value,
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,52634,33991,great Value,
2019 Volkswagen Tiguan SEL R-Line,2019,Volkswagen,Tiguan,25323,31499,great Value,
2019 Audi A5 Prestige,2019,Audi,A5,6945,46999,great Value,
2020 Subaru Forester,2020,Subaru,Forester,9703,27885,great Value,4 Cyl 2.5 L
